,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t240,197,234,255,53.47154235839844,55.03089904785156,193.29913330078125,17,13,49,22.836963461099025,30.631635528903768,27.44459634225757
0,t241,172,198,255,55.26788330078125,61.24598693847656,190.3224639892578,23,20,103,17.254806530368395,27.257302926258024,31.59967410933936
0,t242,172,211,255,49.76860046386719,48.593505859375,187.31552124023438,19,12,53,20.910919106362627,30.046622858958397,24.525884431310047
0,t243,188,225,255,50.4822998046875,45.94427490234375,192.60623168945312,16,3,111,21.071053134785295,30.91389776280682,25.26396002232818
0,t244,190,231,255,52.21122741699219,57.38726806640625,181.60557556152344,13,8,29,23.22258265168721,34.04112205809378,29.719243289019033
0,t245,194,229,255,49.6209716796875,55.3624267578125,180.43551635742188,2,9,17,23.190929868321387,35.769488301198784,33.47810251438028
0,t246,209,248,255,48.70216369628906,50.42474365234375,193.54595947265625,20,14,107,21.204695046100188,30.957185487513385,29.664129773961083
0,t247,135,165,255,46.239227294921875,47.778076171875,190.1317138671875,10,1,110,18.593376356240462,28.62793176017596,24.312163298844684
0,t248,184,229,255,46.801971435546875,50.54278564453125,183.9810791015625,12,5,72,21.925817781128583,32.25210257580887,28.220940026236654
0,t249,208,246,255,48.860015869140625,47.11872863769531,184.79148864746094,12,3,54,20.550857275680087,30.551778691600788,28.131513919162373
0,t25,226,235,243,69.53352355957031,86.60206604003906,148.52392578125,0,2,53,79.32023924082513,77.97938414613557,49.753913838063326
0,t250,199,236,255,52.46672058105469,52.65141296386719,188.08392333984375,17,12,54,23.698626533205523,32.29467932021656,26.93410742735288
0,t251,202,220,255,49.38053894042969,48.55625915527344,184.12599182128906,1,6,14,19.31686983588227,31.966704349341818,32.758493195310116
0,t252,157,181,255,55.316253662109375,52.28102111816406,185.4146728515625,17,7,52,21.192546169873456,31.375482303895254,25.99817734729216
0,t253,215,231,255,52.38652038574219,53.75028991699219,189.35960388183594,12,16,45,22.456412605394263,32.47153728827297,30.73072029799367
0,t254,171,198,255,53.59553527832031,57.52598571777344,194.45132446289062,11,18,64,18.601902859728725,30.339952067227966,28.73434439280414
0,t255,199,233,255,53.865142822265625,52.14891052246094,190.43292236328125,15,10,106,23.432276804793368,31.846253069512482,27.25296455893943
0,t256,199,245,255,91.39202880859375,109.30259704589844,142.15428161621094,0,8,63,39.5062502000419,41.3259392509608,25.34498574245877
0,t257,197,241,255,51.25022888183594,55.84600830078125,191.16920471191406,17,13,57,23.53993873107468,30.494749502987087,28.27743593954853
0,t258,218,248,255,52.311492919921875,56.017120361328125,181.0877227783203,0,8,10,27.88287794617387,36.66063943786084,26.642693365496566
0,t259,208,241,255,47.408843994140625,44.76542663574219,182.99703979492188,7,10,34,22.536962178062247,31.95820675696558,25.775868704991332
0,t26,241,250,255,52.82585144042969,64.18531799316406,131.33168029785156,0,1,29,72.4654411760041,72.35606232052328,46.145084838552044
0,t260,206,242,255,50.99214172363281,49.13038635253906,193.25074768066406,12,6,102,23.810533001732534,29.454973636607644,25.384576942945518
0,t261,195,238,255,54.1292724609375,54.12617492675781,192.53173828125,1,7,16,26.03646254099088,35.1043739787732,29.762352690959002
0,t262,206,244,255,49.14459228515625,54.209259033203125,179.23536682128906,10,9,102,23.393656206079903,31.18335428064433,29.669606672503054
0,t263,188,222,255,54.15589904785156,56.197784423828125,187.85357666015625,0,7,16,23.6611214034317,31.759739697419796,29.28678496080296
0,t264,252,255,255,26.760543823242188,28.399368286132812,90.69862365722656,1,0,55,39.99863073183918,43.08803547947876,26.709472334966133
0,t265,253,255,255,25.3597412109375,26.563003540039062,87.18998718261719,0,0,59,41.20311661963582,45.81931642179511,27.70836573935093
0,t266,254,255,255,31.427581787109375,33.03273010253906,92.33248901367188,1,0,59,42.01077392140603,45.38378498275023,28.05697096546524
0,t267,251,255,255,27.05755615234375,28.33697509765625,96.50613403320312,0,0,53,37.91303841322825,41.66980689211479,24.159887369069764
0,t268,252,254,255,26.52606201171875,28.4090576171875,85.82771301269531,1,0,51,36.35012427938884,39.512314430947214,24.453143628820012
0,t269,255,255,255,30.686508178710938,31.289596557617188,97.92765808105469,2,0,71,42.4817128608287,47.051614340339675,26.369789809939633
0,t27,248,245,255,57.78334045410156,77.41940307617188,176.53395080566406,0,6,42,75.04552356309432,68.56965340193328,40.44594224481994
0,t270,255,255,255,43.9320068359375,46.11073303222656,103.95329284667969,1,0,62,54.730664748337155,60.37917923583132,33.98513963521169
0,t271,252,255,255,40.452392578125,44.50244140625,97.10072326660156,2,0,64,53.049502803452725,58.448849949727716,35.33925202734044
0,t272,255,255,255,23.56378173828125,27.385299682617188,91.65611267089844,1,1,62,32.7060525483604,37.055513502011266,20.64487043361386
0,t273,253,255,255,26.38250732421875,28.963333129882812,89.22857666015625,0,0,56,40.80589744475569,44.259318240588506,27.479810460318703
